sentence,label,Id,Category,ACC,Copi,Cneu,Iopi,Ineu,,TP,FP,TN,FN
突然很懷念台灣高山茶所泡出的清香與甘甜,neu,1,opi,0,1,0,0,1,,0,1,0,1
在我們家吃螃蟹可以吃兩三天當初家裡面有毛蟹是分好一人幾隻的,neu,2,neu,1,0,1,0,1,,0,0,1,0
招牌所以一般人都會以為這是一家普通的中藥店然後就晃過去了其實仔細,neu,3,neu,1,0,1,0,1,,0,0,1,0
7我想他的好被很多吃到飽打壞印象了其實肉質很甜很甜真正有肉的地方在後腿,neu,4,opi,0,1,0,0,1,,0,1,0,1
整體來說飲料失敗但是因為主餐不錯所以我還會再考慮來吧,neu,5,opi,0,1,0,0,1,,0,1,0,1
老闆說有客人覺得和國外喝到的一模一樣可惜我沒嚐過國外的口味不能斷定,neu,6,opi,0,1,0,0,1,,0,1,0,1
淺色的是蘋果汁雖然不見得是新鮮現打,opi,7,neu,0,0,1,1,0,,0,1,0,1
總之--好吃就是而且特別的是還會加一點胡椒不怪卻很對味,opi,8,opi,1,1,0,1,0,,0,0,1,0
湯號稱牛肉蔬菜但是只有一個小得可憐的肉,opi,9,opi,1,1,0,1,0,,0,0,1,0
如果品質菜色沒提升真的很不值得去,opi,10,opi,1,1,0,1,0,,0,0,1,0
說到飯我看見菜單上寫著鬱金香粉問了服務生才知道他們的烤飯另外一類的餐點,neu,11,neu,1,0,1,0,1,,0,0,1,0
其實也就是油飯放沙母的原因便宜阿,neu,12,neu,1,0,1,0,1,,0,0,1,0
後來我們覺得有點出乎我們預算就只好跟服務生說下次再來了,opi,13,opi,1,1,0,1,0,,0,0,1,0
但是便宜好吃就是他的生存之道當季的時候一定要吃的DDDDD,neu,14,opi,0,1,0,0,1,,0,1,0,1
喔偷偷說今天巧遇認識的學妹吃了一口他們點的烤飯,neu,15,neu,1,0,1,0,1,,0,0,1,0
以再濃一點我點了份蔬菜焗飯套餐NT160,neu,16,neu,1,0,1,0,1,,0,0,1,0
湯是油的味道,opi,17,neu,0,0,1,1,0,,0,1,0,1
過熟也是不錯的設計不過只有兩片的杏鮑菇有點小氣青江菜搭配黑胡椒醬還不錯,opi,18,opi,1,1,0,1,0,,0,0,1,0
洋蔥湯喝起來很甜又帶點焦香味上面的酥皮烤的很香脆,opi,19,opi,1,1,0,1,0,,0,0,1,0
不過蕃茄清湯很甜我預期的酸味不甚明顯甜但卻不會有膩的感覺,neu,20,opi,0,1,0,0,1,,0,1,0,1
鬼馬炒牛肉我喜歡吃牛肉,opi,21,neu,0,0,1,1,0,,0,1,0,1
$328+1成服務費等兩個小時才吃到東西花得很不值得,opi,22,opi,1,1,0,1,0,,0,0,1,0
不過他的雞捲還真的蠻推薦的只是也跟肉羹麵一樣貴,opi,23,opi,1,1,0,1,0,,0,0,1,0
小小一碗麵就要NT40元肉羹沒幾塊香菇也沒有幾片,opi,24,neu,0,0,1,1,0,,0,1,0,1
但是一個多小時經過湯遲遲不來真的讓人很不悅,opi,25,opi,1,1,0,1,0,,0,0,1,0
可是不是當季其實就soso了,neu,26,opi,0,1,0,0,1,,0,1,0,1
值得一提的是,neu,27,neu,1,0,1,0,1,,0,0,1,0
而且店內的環境實在是太不衛生了Ojz,opi,28,opi,1,1,0,1,0,,0,0,1,0
4我覺得沒啥特色ㄟ跟以上兩種差不多當季就好吃我也比較少吃啦,neu,29,opi,0,1,0,0,1,,0,1,0,1
鍋底有許多辛香料和提味的蔥蒜不過久煮後會出現苦味所以湯無法喝；,opi,30,opi,1,1,0,1,0,,0,0,1,0
而言餐點的份量很夠對男生而言應該也ＯＫ我們一行人分別點了檸檬香煎,neu,31,neu,1,0,1,0,1,,0,0,1,0
古色古香四周擺滿了蠟燭自製的上頭還會纏上一些中藥還有小小的介,neu,32,neu,1,0,1,0,1,,0,0,1,0
百分百勝出阿但缺點就是小隻肉少糕少但真的好好吃阿,neu,33,opi,0,1,0,0,1,,0,1,0,1
比翠亨村便宜而且點心比較好吃所以就變成常去非常棧,opi,34,opi,1,1,0,1,0,,0,0,1,0
再來是沙拉裝盤的很漂亮喔而且而且它的盤子是冰的沒錯真是一整個有誠意阿,opi,35,opi,1,1,0,1,0,,0,0,1,0
上面那一層厚厚的油是衝三小,opi,36,opi,1,1,0,1,0,,0,0,1,0
鐵火捲則嫌普通了些而且芥茉抹的稍多些,opi,37,opi,1,1,0,1,0,,0,0,1,0
但整體來說還算是我蠻喜歡的一道菜喔,opi,38,opi,1,1,0,1,0,,0,0,1,0
味噌湯@15普通喝的出來是現煮的不是煮了一大鍋在那邊撈的,opi,39,opi,1,1,0,1,0,,0,0,1,0
8沒吃過好吃的生在台灣很有口福了,neu,40,opi,0,1,0,0,1,,0,1,0,1
不會太酸或太甜而且保留了櫻桃的香味搭配起來蠻好吃的算是推薦喔,opi,41,opi,1,1,0,1,0,,0,0,1,0
賣的也很便宜每次買一點點就吃的很飽,opi,42,opi,1,1,0,1,0,,0,0,1,0
子胡蘿蔔湯則是筍子及木耳熬煮的湯很清爽朋友說這家的料理方式有,neu,43,opi,0,1,0,0,1,,0,1,0,1
美麗吃起來不油膩且十分爽口兩個人會有一份小菜昨日的小菜是木耳筍,neu,44,opi,0,1,0,0,1,,0,1,0,1
但整體價錢上都直得推薦啊,opi,45,opi,1,1,0,1,0,,0,0,1,0
蕃茄清湯我真的不想稱他為羅宋湯因為我翻了很久除了滿鍋蔬菜就是沒看到牛肉XD,neu,46,neu,1,0,1,0,1,,0,0,1,0
有用鬱金香粉炒過不過我看著我的焗飯怎麼也覺得好像也炒過鬱金香粉,neu,47,neu,1,0,1,0,1,,0,0,1,0
6其實現在台灣進口的一點都不好吃以前很久以前糕更香濃我第一次吃到,neu,48,opi,0,1,0,0,1,,0,1,0,1
他的蜜汁燒烤甜度適中非常的好吃而且味道很香光聞味道就夠讓你留口水了,opi,49,opi,1,1,0,1,0,,0,0,1,0
土瓶蒸的味道也還好比我的好一點不過有一點苦味在喉嚨裡,opi,50,opi,1,1,0,1,0,,0,0,1,0
不過他們的醬汁好像有點兒蘑菇醬的味道不完全是我愛的白醬味,neu,51,opi,0,1,0,0,1,,0,1,0,1
我個人喝酥皮湯的習慣不會將酥皮整個浸到湯汁裡我偏愛一口酥皮搭配一口湯,opi,52,neu,0,0,1,1,0,,0,1,0,1
大桶的野薑花而個別的廁所裡也有總之整間廁所的野薑花香十分濃郁,neu,53,opi,0,1,0,0,1,,0,1,0,1
東西種類非常的少,opi,54,opi,1,1,0,1,0,,0,0,1,0
直覺是放大版的台灣毛蟹現在我一點都不想花錢去吃因為現在近口的品質,neu,55,opi,0,1,0,0,1,,0,1,0,1
5我已經快忘記他的味道了不是買不到是因為現在大部份都養殖的,neu,56,neu,1,0,1,0,1,,0,0,1,0
我挑的是櫻桃醬本來想像的口感是稍微偏酸的但其實不是口味算是中規中矩,opi,57,opi,1,1,0,1,0,,0,0,1,0
前一陣子在宏揚路上一間天使洗衣店門口有個老婆婆魯味也滿好吃的,opi,58,opi,1,1,0,1,0,,0,0,1,0
J的主菜是焗海鮮飯香濃的起司份量不少的海鮮,opi,59,opi,1,1,0,1,0,,0,0,1,0
孜然羊肉串好吃扇貝皇帝螺整顆烤等等,opi,60,opi,1,1,0,1,0,,0,0,1,0
費的附湯飲料也可感到老闆的用心而且每吃過一道,opi,61,neu,0,0,1,1,0,,0,1,0,1
但是沙公的糕那獨特的香味真是棒阿,neu,62,opi,0,1,0,0,1,,0,1,0,1
另外再叫一些點心叉燒酥很好吃前提是要吃剛出爐的,opi,63,opi,1,1,0,1,0,,0,0,1,0
