sentence,label
看店名似乎一樣不過賣的是小火鍋,0
阿萬還是一間值得再度造訪的小吃店,1
炒出口味較重但又不太辣而牛肉恰好入口不會太老的下飯料理,1
很下飯,1
至於之前有版友提到服務態度的問題可能我幸運吧去了好幾次都沒碰過爛服務生,0
麵煮的軟硬適中番茄醬汁酸酸甜甜加上富有彈性的燻雞肉,1
同學推薦我去的我跟男友都很喜歡這家店,0
每道菜都是偏甜的口感偏沙茶牛肉最後才上來所以一開始雖,0
五花豬肉片很多油脂我學姊很愛,1
餐飲／店家名稱：滕品欣水餃館,0
感覺山東醋的口味似乎介在黑醋跟白醋之間,0
算得上是物有所值,0
我覺得還滿值得的推薦給大家,1
而用餐期間服務生也會適時的收走桌上不用的盤子而不會讓顧客有太急趕人的感覺,1
金典酒店的蛋糕很精緻在高雄還算小有名氣,0
飲料區熱食區冷盤區熱炒和火鍋區水果區幾塊區域可能有人會覺得很多,0
在排隊的時候看到那個店員居然用手拿著店裏的東西吃,1
因為就在家裡附近,0
只是口感稍嫌不足缺少了點我期待的綿密滋味有點像一般豆花的感覺,1
的品質大家是知道的這裡的Meji應該是正牌的咬一口下去滿嘴的綿密口感,1
價位範圍每人：平日399+10%,0
確實夠味真的是齒頰留香這時可惜沒有生啤在手啊一口生啤一口斑鳩就真的是,1
最後我點了「川味擔擔麵」$55,0
生蠔不熟吃了兩顆第一顆不錯,1
又濃又香的醬料微辣的口感上面灑上花生粉,0
我和我女友吃了650居然還加一成服務費天阿我是窮學生阿,1
雖然我現在覺得應該點個披薩大家雪兒的,0
茶碗蒸：內有肉一塊天婦羅14片還有東西忘了很甜嫩的茶碗蒸吃到連湯,1
不過我弟就覺得這樣的肉只夠塞牙縫p,1
水密桃慕斯--酸酸甜甜的不過不知道為什麼一直覺得很油吃幾口就吃不下,1
論餐點我比較喜歡石山尤其是份量上誠意十足,1
豐富的番茄香料還有絞肉讓這道常見的肉醬麵變的不再平凡,1
醬料是沙茶蒜頭辣椒等等還有醬油香油醋有一罐忘了沒有我最愛的豆瓣_,0
我只能說油而且飯太軟我選的是去冰的奶綠當服務生端上一杯綠茶還有奶油球和糖漿罐時我就暗暗叫苦了,1
我想說的是太好吃啦,1
配低油低酯的主食及點心讓身體無負擔,0
雖然比以前貴一點但是他會是我再考慮去的店喔,1
重點是餐點都很好吃,1
泰式海鮮沙拉-點的時候說酸甜辣但是明顯只有辣甜跟酸都很不明顯,1
以上都還要加一成服務費,0
還有一碗湯,0
飲料的話感覺都很普通,1
菜太苦地瓜滿乾的,1
PS沒預料會來這裡吃,0
南陽街那邊的東西都不太乾淨,1
讓整個味道少了厚度,0
生菜滿新鮮的有兩條對半切開的蝦淋在上面的調味醋份量剛好,1
裡面每張桌子都放一個卡式爐,0
我點了蕃茄鍋友人點麻辣鍋,0
*芒果奶烙奶烙搭配著芒果SAUCE吃起來不會很膩好吃,1
報告完畢,0
但是很不一樣耶是白色的麵包,0
另外廁所也很不錯唷很喜歡觀察別人的廁所哈洗手抬旁插了一,1
他來跟我們講,0
想試試的可以吃吃看保證不會想去第二次,1
裡頭的海鮮有花枝和蟹腳肉但是量不多奶油白醬口味濃郁厚重整體而言除了海鮮,1
飲料冰咖啡不好喝,1
香茅為香料的一道菜雞腿皮煎的酥脆肉鮮嫩多汁；酒釀鮭魚則是由甜酒釀,1
比較不推五香醬,1
smilekinoko可惜這湯頭是越來越不夠味了不知道骨肉湯是不是一樣11301830,1
票人已在餐廳門口前等待傻眼的我們詢問小姐要等多久才輪的到答案想當然的要很久,0
但是如果沒有折價券要我吃這樣一份500元的套餐我想應該還有更好的選擇,1
小布丁一個OR小地瓜一個,0
其實還是很辣,1
端來時滿是芝麻和花生的香味麻糬還熱熱的口感很棒也不會過甜,1
而且兩個人費用攤一攤一個人才八十元,0
有醃燻起司還有小黃瓜上面放著起司這個吃起來很特殊沒想到起司,1
味道不會很重甜甜的,0
所以衝去吃了這家的招牌豆腐水餃p,0
並非以醬汁淋上已經先做過處理所以即使不用醬汁有有咖哩味,0
我們2個吃起來才不過100圓真的超撐的有給他划算到喔,1
老闆老闆娘跟女兒因為生意太忙吵架Orz,1
送上來後發現它只是用空架子架著而已底下並沒有用酒精膏點火,0
喜歡草本風味的朋友可以去嚐嚐看喔,0
所以只好找了附近看起來也是小店的這家,0
再次領教到他們的慢動作和不知變通那時我的前面有二位在等他們都點一份份要慢慢,1
甩那麼大力,1
我是覺得前兩家都不錯吃,1
蜜汁排骨味道不錯不過很硬,1
好吃好看好聽好玩這種餐廳值得一推再推我給極高的評,1
第一個是忘記名字號稱超辣的辣椒麵／兩百五十元,0
比較沒那麼濃,1
看起來很可愛外皮澄澈透明咬下去QQ的不過皮的厚薄不一算是美中不足的地方,0
價位範圍每人：200220,0
可惜價錢我覺得有一些貴就是一大群人去吃可能會比較實在,1
只見新鮮的生菜上頭淋上金黃的柳橙醬和藍紫色的藍莓醬整盤沙拉顯得特別豐富,1
港式點心區只有六七樣東西分別是鳳爪蝦餃奶黃包玉免甜包茶碗蒸,0
招牌豆腐水餃真的不錯吃,1
精緻度當然不可能像懷石料裡那樣但比起一般日式餐廳還算不錯,1
男友說別小看這家位於新店郊區的小店這的海產可是比基隆的還要新鮮好吃,1
熱一下或是直接吃都可吃得到蝦和花枝的甜味這裡的附餐烏龍麵彈性十足喜歡滑溜QQ口感的人不妨一試,1
裡面好流的感覺而且丸子本身沒啥味道,1
京都排骨：超級失敗肉很少全是骨頭調味也不怎麼樣,1
好像變很貴,1
然後再去製作,0
昨天的服務生也都還挺勤快有禮貌的而且他們昨天的生意不錯,0
因為湯裡的雞胸肉看起來就老老的,1
焗烤就是多了起司的奶香份量多賣相也很好乍看是份量最多的,0
好像有九樣菜的樣子沾醬則是有三四種供大家選擇,0
然後我果然不適合吃蛋花麵啊XD,0
實在有點食慾全無了再也無法入口心想這是螞蟻大補湯嗎？四隻會不會太誇張,1
