sentence,label
順道一提這家店原址就是溫厚店內氣氛明亮座位數大約有50吧晚餐時間客人也不少坐了六成滿還有外帶的XD菜單上除了套餐就是飲品套餐附湯和飲料,neu
值得一提的是,neu
檸檬水不錯但有點兒檸檬的苦湯每天都會供應兩種今天的是番茄清湯和蔬菜濃湯,neu
蕃茄清湯我真的不想稱他為羅宋湯因為我翻了很久除了滿鍋蔬菜就是沒看到牛肉XD,neu
不過蕃茄清湯很甜我預期的酸味不甚明顯甜但卻不會有膩的感覺,neu
蔬菜濃湯其實就是把紅蘿蔔和其他蔬菜打成細末煮成濃湯,neu
老闆說有客人覺得和國外喝到的一模一樣可惜我沒嚐過國外的口味不能斷定,neu
不過可以確定的是入口時有奶香大概是鮮奶油效應但我這愛濃稠口感的卻覺得可,neu
以再濃一點我點了份蔬菜焗飯套餐NT160,neu
焗飯份量和水龍頭差不多不過他們的焗飯和師大夜市其他簡餐店不一樣,neu
首先是起士皮坦白說愛死起士的我並不滿意它只有淡淡的味道但牽絲能力很夠也不,neu
會遇冷就很快結塊,neu
再來是重點飯與醬料的完美搭配我很看重這一點目前評價焗飯只有水龍頭合乎我,neu
的口味再高級一點就是門卡迪了我喜歡cream感覺誇張一點就是要很juicy,neu
今天的焗飯真是深得我心啊我覺得是我吃過的焗飯裡最juicy樂,neu
雖然剛開始會覺得咦這是燴飯嗎？但是稍微拌過會發現每一粒米飯都平均附著上,neu
醬汁我就是喜歡這種介於飯和燴飯之間的感覺,neu
不過他們的醬汁好像有點兒蘑菇醬的味道不完全是我愛的白醬味,neu
說到飯我看見菜單上寫著鬱金香粉問了服務生才知道他們的烤飯另外一類的餐點,neu
有用鬱金香粉炒過不過我看著我的焗飯怎麼也覺得好像也炒過鬱金香粉,neu
果不其然一顆顆金黃長型的飯粒嚐起來味道的確是不一樣配著醬汁還真是不錯,neu
另外他們的料也給得不小氣有高麗菜紅蘿蔔小玉米香菇蘑菇還有秋葵驚,neu
雖然都是切薄片和切細不過一來容易入口二來雖小片但整盤料多實在,neu
喔偷偷說今天巧遇認識的學妹吃了一口他們點的烤飯,neu
我只能說油而且飯太軟我選的是去冰的奶綠當服務生端上一杯綠茶還有奶油球和糖漿罐時我就暗暗叫苦了,neu
喝了一口無糖綠媽呀果然是便宜貨苦澀自然是不在話下,neu
突然很懷念台灣高山茶所泡出的清香與甘甜,neu
當然我硬著頭皮把它喝完便宜貨還是能去油解膩呀XD算了算除了廚師外場大概只有三四個吧,neu
能迅速帶位也能詳細解釋餐點與用餐形式,neu
雖然才剛開幕不久對於上菜時間還是能掌握得宜,neu
整體來說飲料失敗但是因為主餐不錯所以我還會再考慮來吧,neu
最後當然打了85折我只花了NT136,neu
1有紅尋特別的香味肉質屬於飽滿的但不是螃蟹中最甜,neu
但是沙公的糕那獨特的香味真是棒阿,neu
而沙母的卵香是香但似乎有點普通,neu
沙公的肉質一定比沙母的香甜也就是沙公比較貴的原因,neu
其實也就是油飯放沙母的原因便宜阿,neu
2肉質比沙公母更甜且細緻但並沒有獨特香味肉質不屬於飽滿的,neu
但是便宜好吃就是他的生存之道當季的時候一定要吃的DDDDD,neu
可是不是當季其實就soso了,neu
至於裡面的糕SOSO啦主打肉質,neu
3我已經忘記國語叫什麼了殼很硬但肉質跟三點比更勝出,neu
真的是甜香飽滿樣樣都顧到了糕也是屬於SOSO的,neu
4我覺得沒啥特色ㄟ跟以上兩種差不多當季就好吃我也比較少吃啦,neu
5我已經快忘記他的味道了不是買不到是因為現在大部份都養殖的,neu
講一句實在的話無論肉或糕都有很棒的香味絕對不輸大閘蟹,neu
百分百勝出阿但缺點就是小隻肉少糕少但真的好好吃阿,neu
在我們家吃螃蟹可以吃兩三天當初家裡面有毛蟹是分好一人幾隻的,neu
大人會捨不得給小孩吃的唷好吃到無法形容比到大陸吃頂級大閘蟹還棒,neu
6其實現在台灣進口的一點都不好吃以前很久以前糕更香濃我第一次吃到,neu
直覺是放大版的台灣毛蟹現在我一點都不想花錢去吃因為現在近口的品質,neu
唉跟以往大不相同了最早是可以請親戚去完順便帶回`來的,neu
7我想他的好被很多吃到飽打壞印象了其實肉質很甜很甜真正有肉的地方在後腿,neu
也是肉質最好的地方如果想改變對他的印象去趟富基漁港就知道了,neu
8沒吃過好吃的生在台灣很有口福了,neu
順便講講好了Orz肉質甜細緻建議清蒸生魚片口感Q煮湯或侷烤等重口味,neu
價位範圍每人２３０以上,neu
這間店是我朋友的朋友介紹我去的因為他以前在嘉義是開餐廳的,neu
這家餐廳位於民國路上永昌堂中藥店的二樓沒有招牌只有中藥店的,neu
招牌所以一般人都會以為這是一家普通的中藥店然後就晃過去了其實仔細,neu
看它的外觀跟普通的中藥店不同佈置的古色古香很不錯,neu
進去中藥店可以不用理掌櫃的阿不是啦是裡頭抓藥或把脈的穿過,neu
簾子直直往裡走上樓梯到二樓一進到二樓就是一個不同的空間相當地,neu
古色古香四周擺滿了蠟燭自製的上頭還會纏上一些中藥還有小小的介,neu
紹位置不多但去的幾乎都是熟客所以最好是事先預約,neu
餐點的價位大概是２３０以上有兩道菜必須提前一天預定才吃得到對我,neu
而言餐點的份量很夠對男生而言應該也ＯＫ我們一行人分別點了檸檬香煎,neu
